City,Country,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed,Date,Max Temperature
port macquarie,au,90,72,-31.43,152.91,,5.82,1529553600,60.8
saint-philippe,re,75,53,-21.36,55.77,,8.05,1529551800,71.6
tubuala,pa,40,88,9.52,-79.03,,4.7,1529553600,77.0
torbay,ca,90,71,47.66,-52.73,,20.8,1529550000,51.8
de aar,za,0,79,-30.65,24.01,,5.64,1529554542,32.76
rikitea,pf,32,100,-23.12,-134.97,,6.98,1529554542,73.8
otradnoye,ru,0,66,59.77,30.8,,6.71,1529551800,55.4
kapaa,us,40,74,22.08,-159.32,,9.17,1529553360,80.6
ushuaia,ar,90,92,-54.81,-68.31,,17.22,1529553600,30.2
labutta,mm,,,,,,,,
puerto ayora,ec,20,100,-0.74,-90.35,,11.45,1529554357,71.37
coquimbo,cl,24,100,-29.95,-71.34,,3.36,1529553600,44.6
nkowakowa,za,88,97,-23.89,30.29,,0.94,1529554543,50.67
ust-kamchatsk,ru,,,,,,,,
cape town,za,0,93,-33.93,18.42,,4.7,1529550000,42.8
east london,za,0,71,-33.02,27.91,,9.17,1529550000,55.4
saint-denis,re,75,53,-20.87,55.47,,8.05,1529551800,71.6
havre-saint-pierre,ca,40,93,50.23,-63.6,,3.36,1529550000,50.0
atuona,pf,48,100,-9.8,-139.03,,11.79,1529554544,80.91
vostok,ru,92,100,46.45,135.83,,2.73,1529554544,56.34
llanes,es,36,97,43.42,-4.75,,0.83,1529554544,57.33
mys shmidta,ru,,,,,,,,
saint-augustin,ca,75,77,45.63,-73.98,,3.36,1529550000,68.0
dagda,lv,0,76,56.09,27.54,,11.68,1529554545,57.96
safakulevo,ru,0,64,54.99,62.54,,18.61,1529554545,61.74
castro,cl,88,86,-42.48,-73.76,,11.56,1529554545,45.36
manchar,in,92,96,19,73.94,,4.97,1529554545,75.24
busselton,au,92,100,-33.64,115.35,,11.56,1529554545,62.19
georgetown,sh,44,100,-7.93,-14.42,,16.49,1529554497,76.5
faanui,pf,88,99,-16.48,-151.75,,16.71,1529554546,81.27
saskylakh,ru,20,74,71.97,114.09,,8.77,1529554546,59.22
chernyshevskiy,ru,0,47,63.01,112.47,,3.51,1529554546,64.44
paradwip,in,,,,,,,,
grand river south east,mu,,,,,,,,
vestmanna,fo,88,75,62.16,-7.17,,31.09,1529553000,46.4
port elizabeth,za,0,93,-33.92,25.57,,2.24,1529550000,41.0
dikson,ru,0,91,73.51,80.55,,23.76,1529554491,34.11
port alfred,za,0,96,-33.59,26.89,,9.89,1529554477,60.3
chipinge,zw,36,84,-20.19,32.62,,2.73,1529554547,57.06
punta arenas,cl,20,100,-53.16,-70.91,,20.8,1529553600,32.0
richards bay,za,0,94,-28.77,32.06,,7.65,1529554547,61.56
vardo,no,75,100,70.37,31.11,,19.46,1529553000,42.8
salinopolis,br,64,100,-0.61,-47.36,,14.03,1529554803,78.48
hasaki,jp,75,88,35.73,140.83,,6.93,1529551800,71.6
koungou,yt,40,83,-12.73,45.2,,12.75,1529551800,78.8
zamora,ec,0,81,-4.07,-78.95,,1.95,1529554548,47.52
hilo,us,75,65,19.71,-155.08,,10.29,1529549760,80.6
iracoubo,gf,12,84,5.48,-53.21,,5.3,1529554549,76.86
monrovia,lr,100,97,6.33,-10.8,,5.3,1529554549,73.98
sakakah,sa,,,,,,,,
vigrestad,no,40,76,58.57,5.7,,5.82,1529553000,48.2
nome,us,40,94,30.04,-94.42,,6.42,1529552700,80.6
fortuna,us,90,87,40.6,-124.16,,5.82,1529553600,55.4
mapiripan,co,12,89,2.89,-72.13,,3.18,1529554549,72.36
lavrentiya,ru,8,93,65.58,-170.99,,9.55,1529554550,39.69
nicoya,cr,75,100,10.15,-85.45,,4.7,1529553600,73.4
yaan,cn,,,,,,,,
calmar,ca,40,47,53.27,-113.81,,9.17,1529550000,77.0
dzhusaly,kz,,,,,,,,
hobart,au,40,43,-42.88,147.33,,11.41,1529551800,55.4
bukachacha,ru,0,56,52.99,116.91,,3.4,1529554550,75.24
beni,cd,88,98,0.49,29.47,,3.18,1529554551,62.82
taolanaro,mg,,,,,,,,
luderitz,na,0,87,-26.65,15.16,,6.31,1529554551,50.22
road town,vg,20,83,18.42,-64.62,,3.36,1529553180,78.8
nikolskoye,ru,0,66,59.7,30.79,,6.71,1529551800,55.4
norman wells,ca,40,49,65.28,-126.83,,5.82,1529550000,73.4
margate,za,0,87,-30.86,30.37,,12.91,1529554517,63.36
bredasdorp,za,8,93,-34.53,20.04,,3.36,1529550000,37.4
vaitupu,wf,,,,,,,,
hermanus,za,0,92,-34.42,19.24,,2.62,1529554552,32.94
bluff,nz,48,100,-46.6,168.33,,1.61,1529554552,44.91
kamenskoye,ru,,,,,,,,
mehriz,ir,0,13,31.58,54.44,,4.7,1529551800,84.2
bengkulu,id,,,,,,,,
mwanza,mw,100,76,-15.61,34.52,,0.72,1529554553,64.71
gamba,ga,36,100,-2.72,10.02,,12.24,1529554553,73.26
hay river,ca,75,44,60.82,-115.79,,6.93,1529550000,78.8
ternate,id,0,100,0.8,127.4,,1.95,1529554806,82.17
barrow,us,40,94,39.51,-90.4,,4.29,1529552100,75.2
yellowknife,ca,75,41,62.45,-114.38,,14.99,1529550000,77.0
axim,gh,88,100,4.87,-2.24,,11.79,1529554554,77.31
tuggurt,dz,,,,,,,,
banda aceh,id,48,78,5.56,95.32,,3.18,1529554444,84.15
xudat,az,0,84,41.63,48.68,,2.84,1529554554,66.51
bonavista,ca,56,74,48.65,-53.11,,13.58,1529554554,52.47
moose jaw,ca,20,40,50.4,-105.54,,3.36,1529550000,73.4
choucheng,cn,,,,,,,,
albany,au,24,86,-35.02,117.88,,11.9,1529554338,59.94
rincon,an,,,,,,,,
qaanaaq,gl,64,98,77.48,-69.36,,1.16,1529554517,31.23
geraldton,ca,20,62,49.72,-86.95,,4.7,1529550000,53.6
mar del plata,ar,88,76,-46.43,-67.52,,18.5,1529554555,42.21
hofn,is,0,92,64.25,-15.21,,4.85,1529554555,46.98
asfi,ma,,,,,,,,
cabo san lucas,mx,5,78,22.89,-109.91,,4.7,1529552880,73.4
roma,au,0,79,-26.57,148.79,,5.64,1529554807,61.92
muli,mv,80,100,2.92,73.57,,11.34,1529554556,81.9
mataura,pf,,,,,,,,
kodiak,us,1,78,39.95,-94.76,,8.05,1529549580,73.4
sambava,mg,68,100,-14.27,50.17,,16.93,1529554556,74.16
lazaro cardenas,mx,5,17,28.39,-105.62,,3.36,1529552400,82.4
shakawe,bw,0,63,-18.36,21.84,,2.28,1529554556,45.81
bojnurd,ir,20,49,37.47,57.33,,2.24,1529550000,69.8
yulara,au,0,41,-25.24,130.99,,10.29,1529550000,60.8
vila franca do campo,pt,40,94,37.72,-25.43,,5.82,1529551800,69.8
karratha,au,0,22,-20.74,116.85,,15.7,1529554808,73.53
atambua,id,0,79,-9.11,124.89,,4.97,1529554808,85.05
cabedelo,br,40,88,-6.97,-34.84,,3.36,1529553600,69.8
utiroa,ki,,,,,,,,
almonte,es,0,83,37.26,-6.52,,5.82,1529553600,69.8
burley,us,1,40,42.54,-113.79,,5.82,1529549580,73.4
fenoarivo,mg,20,93,-18.93,47.44,,6.93,1529551800,51.8
kilindoni,tz,64,92,-7.91,39.67,,12.12,1529554558,80.01
port hedland,au,0,22,-20.31,118.58,,16.11,1529553600,77.0
bathsheba,bb,75,78,13.22,-59.52,,13.87,1529553600,78.8
new norfolk,au,40,43,-42.78,147.06,,11.41,1529551800,55.4
avarua,ck,40,64,-21.21,-159.78,,9.17,1529553600,75.2
tiksi,ru,56,72,71.64,128.87,,3.62,1529554558,57.69
samusu,ws,,,,,,,,
biryusinsk,ru,12,58,55.96,97.82,,3.51,1529554559,75.96
chadiza,zm,0,84,-14.06,32.43,,5.64,1529554559,50.94
tasiilaq,gl,92,92,65.61,-37.64,,18.34,1529553000,41.0
ilulissat,gl,0,43,69.22,-51.1,,16.11,1529553000,51.8
butaritari,ki,88,100,3.07,172.79,,5.64,1529554559,84.06
hirara,jp,75,84,24.8,125.28,,17.22,1529550000,86.0
beitbridge,zw,48,99,-22.22,30,,7.43,1529554560,60.84
aksarka,ru,56,98,66.56,67.8,,8.77,1529554560,54.27
tsihombe,mg,,,,,,,,
santa cruz das palmeiras,br,0,86,-21.82,-47.25,,3.96,1529554560,56.25
lusambo,cd,32,75,-4.97,23.44,,1.95,1529554560,70.56
arraial do cabo,br,0,99,-22.97,-42.02,,12.24,1529554481,68.04
meadow lake,ca,0,32,54.13,-108.44,,5.19,1529554561,79.83
mandera,ke,32,64,3.94,41.87,,8.99,1529554561,76.59
tecoanapa,mx,75,78,16.99,-99.26,,6.93,1529552760,82.4
polson,us,80,57,47.69,-114.16,,2.39,1529554291,63.27
aklavik,ca,20,52,68.22,-135.01,,5.82,1529550000,64.4
barentsburg,sj,,,,,,,,
harrisonburg,us,1,100,38.45,-78.87,,2.95,1529553180,71.6
bereda,so,,,,,,,,
urucara,br,8,98,-2.54,-57.76,,2.51,1529554562,69.3
mbandaka,cd,8,96,0.05,18.26,,2.39,1529554811,71.37
beira,mz,24,85,-19.84,34.84,,3.4,1529554562,68.67
college,us,1,29,64.86,-147.8,,5.82,1529553480,77.0
jamestown,sh,88,100,-15.94,-5.72,,17.94,1529554563,70.11
vallenar,cl,0,67,-28.58,-70.76,,2.06,1529554563,44.01
ponta do sol,cv,0,100,17.2,-25.09,,13.02,1529554563,71.55
vaini,to,40,78,-21.2,-175.2,,5.82,1529553600,80.6
linxia,cn,92,100,35.6,103.21,,3.4,1529554563,56.07
kachiry,kz,0,61,53.07,76.1,,10.67,1529554564,69.93
shelburne,ca,1,67,44.08,-80.2,,3.36,1529550000,68.0
ituni,gy,,,,,,,,
hithadhoo,mv,80,100,-0.6,73.08,,7.43,1529554497,83.97
amahai,id,88,100,-3.31,129,,3.96,1529554564,78.84
imeni babushkina,ru,92,96,59.76,43.13,,20.85,1529554564,49.68
portland,au,68,78,-33.35,149.98,,2.73,1529554564,49.14
provideniya,ru,75,70,64.42,-173.23,,13.42,1529551800,44.6
potiskum,ng,92,94,11.71,11.08,,8.77,1529554565,70.56
san cristobal,ec,64,100,-1.02,-79.44,,1.16,1529554530,59.04
husavik,is,0,100,66.04,-17.34,,2.24,1529553600,35.6
posse,br,0,66,-14.08,-46.36,,12.91,1529554565,66.87
posadas,ar,0,88,-27.37,-55.9,,4.7,1529553600,64.4
hami,cn,80,45,42.84,93.51,,4.63,1529554565,85.77
samarai,pg,92,100,-10.62,150.67,,17.05,1529554487,78.12
laguna,br,,,,,,,,
kaitangata,nz,0,90,-46.28,169.85,,3.62,1529554812,43.29
airai,pw,,,,,,,,
melfort,ca,75,41,52.87,-104.61,,10.29,1529550000,78.8
codrington,ag,,,,,,,,
tiarei,pf,40,69,-17.53,-149.33,,1.12,1529553600,80.6
casa nova,br,92,98,-11.77,-39.23,,5.19,1529554566,69.21
kramat,id,80,88,-7.04,112.64,,3.4,1529554567,83.97
belushya guba,ru,,,,,,,,
kaili,cn,,,,,,,,
villa bruzual,ve,40,94,9.33,-69.12,,2.95,1529550000,73.4
cuiluan,cn,36,61,47.72,128.65,,8.88,1529554567,67.23
mendota,us,1,32,36.75,-120.38,,11.41,1529553360,86.0
bambous virieux,mu,75,94,-20.34,57.76,,4.41,1529550000,71.6
santa cruz,cr,75,100,10.26,-85.58,,4.7,1529553600,73.4
meulaboh,id,0,100,4.14,96.13,,1.72,1529554568,84.15
khatanga,ru,80,100,71.98,102.47,,18.05,1529554568,54.81
samalaeulu,ws,,,,,,,,
khasan,ru,64,77,42.43,130.64,,10.33,1529554568,65.52
berlevag,no,75,93,70.86,29.09,,8.05,1529553000,44.6
illoqqortoormiut,gl,,,,,,,,
magtanggol,ph,,,,,,,,
lauria,it,0,100,40.05,15.84,,0.94,1529554569,55.08
ambilobe,mg,0,85,-13.19,49.05,,5.64,1529554536,64.71
saint george,bm,20,83,32.38,-64.68,,13.87,1529553300,77.0
zhigansk,ru,0,39,66.77,123.37,,3.85,1529554537,68.94
lebu,cl,92,100,-37.62,-73.65,,12.01,1529554569,52.11
tornio,fi,0,76,61.12,27.27,,3.36,1529553000,53.6
ribeira grande,pt,68,100,38.52,-28.7,,2.62,1529554570,70.83
matagami,ca,1,53,49.76,-77.63,,8.05,1529550000,41.0
saint-francois,gp,20,78,16.25,-61.27,,6.93,1529553600,75.2
evensk,ru,12,100,61.92,159.24,,5.41,1529554531,44.91
ossora,ru,20,94,59.24,163.07,,1.72,1529554814,51.93
yar-sale,ru,8,85,66.83,70.83,,3.74,1529554747,52.11
severo-kurilsk,ru,76,100,50.68,156.12,,7.2,1529554482,42.66
saint-joseph,re,75,53,-21.37,55.62,,8.05,1529551800,71.6
plettenberg bay,za,0,100,-34.05,23.37,,7.76,1529554815,56.52
moquegua,pe,8,76,-17.19,-70.93,,1.83,1529554570,51.84
ulyanovo,ru,,,,,,,,
cairns,au,20,44,-16.92,145.77,,19.46,1529551800,77.0
brejinho,br,0,78,-6.2,-35.36,,8.05,1529553600,73.4
da lat,vn,92,80,11.95,108.44,,3.4,1529554571,74.16
chuy,uy,68,90,-33.69,-53.46,,11.68,1529554571,58.86
sirjan,ir,0,23,29.44,55.67,,3.18,1529554571,70.47
ancud,cl,88,82,-41.87,-73.83,,10.45,1529554480,46.44
yiyang,cn,92,100,28.59,112.35,,5.19,1529554572,75.69
maceio,br,75,100,-9.67,-35.74,,3.36,1529553600,68.0
vega de alatorre,mx,92,92,20.03,-96.65,,5.08,1529554572,77.04
roald,no,75,100,62.58,6.12,,8.05,1529553000,46.4
thompson,ca,75,53,55.74,-97.86,,4.7,1529550000,75.2
amderma,ru,,,,,,,,
saleaula,ws,,,,,,,,
mahebourg,mu,75,94,-20.41,57.7,,4.41,1529550000,71.6
ketchikan,us,90,100,55.34,-131.65,,9.17,1529554020,60.8
strathpeffer,gb,40,87,57.59,-4.54,,5.82,1529553000,46.4
khovu-aksy,ru,48,61,51.13,93.72,,2.17,1529554573,66.69
iralaya,hn,56,97,15,-83.23,,5.86,1529554573,78.75
yomitan,jp,,,,,,,,
boca do acre,br,32,84,-8.76,-67.39,,2.39,1529554573,70.47
rawson,ar,0,42,-43.3,-65.11,,21.52,1529554574,48.87
san luis,mx,1,15,32.49,-114.78,,6.93,1529553420,91.4
athens,us,1,61,33.96,-83.39,,8.05,1529553360,82.4
bocaranga,cf,,,,,,,,
la ronge,ca,40,47,55.1,-105.3,,6.93,1529550000,78.8
tuktoyaktuk,ca,40,90,69.44,-133.03,,10.29,1529550000,50.0
fare,pf,92,96,-16.7,-151.02,,15.59,1529554575,81.54
gao,ml,8,31,16.28,-0.04,,4.85,1529554575,80.01
wagar,sd,8,75,16.15,36.2,,3.96,1529554817,76.68
sinnamary,gf,80,95,5.38,-52.96,,11.12,1529554818,80.82
rianxo,es,20,100,42.65,-8.82,,4.7,1529551800,69.8
honningsvag,no,90,100,70.98,25.97,,8.05,1529553000,44.6
pevek,ru,0,70,69.7,170.27,,2.17,1529554575,47.34
patitirion,gr,20,69,39.15,23.87,,12.91,1529553000,77.0
harper,lr,100,100,4.38,-7.71,,9.66,1529554576,78.48
cheyenne,us,1,82,41.14,-104.82,,5.82,1529553180,57.2
porbandar,in,40,70,21.64,69.61,,13.87,1529551800,87.8
san quintin,mx,,,,,,,,
coihaique,cl,75,69,-45.58,-72.07,,8.05,1529553600,37.4
nanortalik,gl,92,95,60.14,-45.24,,28.12,1529554481,36.9
sirvintos,lt,0,76,55.05,24.95,,10.29,1529553000,62.6
clarence town,bs,0,100,23.1,-74.98,,5.97,1529554819,82.71
ixtapa,mx,75,88,20.71,-105.21,,2.17,1529552760,78.8
krasnotorka,ua,0,38,48.68,37.52,,8.21,1529554577,70.11
