City,Country,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed,Date,Max Temperature
pacifica,us,75,76,37.61,-122.49,,18.34,1529553360,60.8
fort nelson,ca,75,42,58.81,-122.69,,3.36,1529550000,82.4
pangnirtung,ca,76,99,66.15,-65.72,,1.95,1529554481,31.32
clovis,us,20,33,36.83,-119.7,,13.87,1529553360,86.0
noumea,nc,75,53,-22.28,166.46,,9.17,1529553600,73.4
tura,ru,88,100,64.27,100.22,,2.84,1529554520,60.93
gombong,id,36,75,-7.19,109.31,,3.18,1529554578,81.09
lompoc,us,90,87,34.64,-120.46,,10.29,1529553480,62.6
ondangwa,na,0,47,-17.91,15.98,,8.1,1529554578,47.52
lexington,us,1,83,38.05,-84.5,,4.7,1529552100,75.2
helong,cn,92,88,25.94,116.13,,4.41,1529554578,80.46
victor harbor,au,0,54,-35.55,138.62,,8.05,1529551800,57.2
andenes,no,75,93,69.31,16.12,,6.93,1529553000,48.2
olafsvik,is,,,,,,,,
teknaf,bd,92,100,20.86,92.31,,3.74,1529554820,77.49
moerai,pf,12,100,-22.43,-151.33,,4.74,1529554579,74.97
misratah,ly,0,98,32.38,15.09,,4.85,1529554514,68.31
nioro,ml,,,,,,,,
lieksa,fi,20,67,63.32,30.02,,5.41,1529554579,51.75
requena,pe,,,,,,,,
lebyazhye,ru,0,66,59.96,29.42,,6.71,1529551800,55.4
tezu,in,20,85,27.93,96.16,,0.6,1529554820,75.96
sabang,id,0,100,1.17,120.82,,3.4,1529554500,82.44
kahului,us,40,65,20.89,-156.47,,16.11,1529553360,82.4
mawlaik,mm,80,93,23.63,94.42,,2.73,1529554580,80.64
kizukuri,jp,75,100,40.81,140.39,,8.05,1529550000,69.8
dragu,ro,0,82,47.04,23.4,,1.12,1529551800,66.2
nizhneyansk,ru,,,,,,,,
ginda,er,,,,,,,,
touros,br,68,82,-5.2,-35.46,,15.14,1529554581,76.41
bethel,us,90,62,60.79,-161.76,,6.93,1529553180,59.0
los llanos de aridane,es,56,77,28.66,-17.92,,11.41,1529553600,68.0
kankaanpaa,fi,0,76,61.8,22.42,,3.36,1529553000,53.6
baykit,ru,56,79,61.68,96.39,,3.85,1529554821,66.24
puerto lopez,co,,,,,,,,
sampit,id,48,84,-2.54,112.95,,6.42,1529554582,83.34
leningradskiy,ru,8,98,69.38,178.42,,16.49,1529554582,32.4
beloha,mg,0,80,-25.17,45.06,,2.73,1529554822,54.36
bandarbeyla,so,0,81,9.49,50.81,,29.01,1529554582,77.76
diplo,pk,64,76,24.47,69.59,,12.57,1529554582,84.24
koundara,gn,24,74,12.49,-13.3,,12.46,1529554583,78.21
marzuq,ly,,,,,,,,
voh,nc,64,100,-20.95,164.69,,11.68,1529554583,70.92
yelizovo,ru,56,49,53.19,158.38,,15.66,1529551800,68.0
dingle,ie,80,100,52.14,-10.27,,14.47,1529554822,54.99
faya,td,,,,,,,,
georgetown,us,1,100,33.38,-79.29,,5.53,1529553300,80.6
adrar,dz,0,13,27.87,-0.29,,14.99,1529550000,84.2
yako,bf,0,54,12.96,-2.26,,13.47,1529554584,82.17
myski,ru,8,69,53.71,87.8,,5.75,1529554584,68.76
chokurdakh,ru,0,86,70.62,147.9,,10.67,1529554495,53.37
alta floresta,br,24,66,-9.87,-56.08,,4.29,1529554585,77.76
narsaq,gl,75,37,60.91,-46.05,,6.93,1529553000,51.8
halalo,wf,,,,,,,,
mezen,ru,80,100,65.85,44.24,,3.4,1529554585,57.06
bay city,us,1,77,43.59,-83.89,,2.84,1529552160,64.4
sitka,us,0,58,37.17,-99.65,,9.78,1529554585,75.42
trelew,ar,0,42,-43.25,-65.31,,21.52,1529554823,48.87
dzilam gonzalez,mx,0,50,21.28,-88.93,,8.77,1529554585,85.5
prince george,ca,75,39,53.92,-122.75,,25.28,1529552640,78.8
bara,sd,,,,,,,,
carnarvon,au,0,100,-24.87,113.63,,10.22,1529554749,63.09
usinsk,ru,0,76,66,57.56,,7.65,1529554586,58.86
riyadh,sa,0,16,24.63,46.72,,4.7,1529550000,86.0
myanaung,mm,88,100,18.28,95.32,,7.76,1529554586,78.03
balkhash,kz,20,77,46.84,74.98,,5.64,1529554824,74.88
swan river,ca,8,28,52.11,-101.27,,6.53,1529554587,80.19
mandalgovi,mn,64,32,45.76,106.27,,6.08,1529554587,76.41
clyde river,ca,90,92,70.47,-68.59,,10.29,1529550000,33.8
pisco,pe,90,82,-13.71,-76.2,,3.36,1529553600,62.6
esperance,au,0,68,-33.86,121.89,,7.43,1529554587,61.74
port blair,in,56,100,11.67,92.75,,16.15,1529554587,82.08
sulangan,ph,24,100,11.14,123.72,,7.43,1529554587,84.24
kawalu,id,80,84,-7.38,108.21,,2.39,1529554500,74.34
tumut,au,24,72,-35.3,148.22,,2.39,1529554588,52.02
ahipara,nz,92,100,-35.17,173.16,,21.52,1529554527,55.26
lata,sb,,,,,,,,
saint pete beach,us,75,74,27.73,-82.74,,8.99,1529553360,84.2
shimanovsk,ru,8,49,52,127.67,,3.62,1529554588,73.62
skagastrond,is,,,,,,,,
namibe,ao,0,100,-15.19,12.15,,4.52,1529554588,67.95
mount gambier,au,56,98,-37.83,140.78,,3.4,1529554431,51.75
dunedin,nz,0,89,-45.87,170.5,,3.29,1529554589,41.94
male,mv,75,74,4.17,73.51,,10.29,1529550000,84.2
beruwala,lk,80,100,6.48,79.98,,14.03,1529554589,79.29
enshi,cn,92,100,30.29,109.48,,3.62,1529554589,69.57
cherskiy,ru,0,50,68.75,161.3,,1.61,1529554483,62.19
urulga,ru,,,,,,,,
mach,pk,0,34,29.87,67.33,,3.18,1529554589,73.71
lodja,cd,12,78,-3.52,23.6,,3.85,1529554825,72.36
urdzhar,kz,,,,,,,,
abalak,ne,0,63,15.46,6.28,,14.92,1529554590,79.74
havre,us,75,64,48.55,-109.68,,8.05,1529549580,69.8
bambanglipuro,id,56,67,-7.95,110.28,,8.43,1529554590,82.71
flin flon,ca,12,31,54.77,-101.88,,4.97,1529554590,79.65
vao,nc,48,100,-22.67,167.48,,14.03,1529554538,71.19
half moon bay,us,90,87,37.46,-122.43,,12.75,1529553360,60.8
victoria,sc,40,83,-4.62,55.45,,13.87,1529550000,78.8
peruibe,br,0,100,-24.32,-47,,8.21,1529554590,69.57
kalemie,cd,76,98,-5.95,29.2,,3.18,1529554591,74.79
te anau,nz,0,95,-45.41,167.72,,2.95,1529554826,41.22
san jeronimo,mx,5,40,29.37,-110.79,,8.05,1529552460,87.8
takanabe,jp,75,88,32.13,131.49,,3.36,1529550000,75.2
hunza,pk,,,,,,,,
ostrovnoy,ru,92,100,68.05,39.51,,8.66,1529554591,44.19
elko,us,1,17,40.83,-115.76,,3.36,1529549760,82.4
braganca,pt,0,91,41.81,-6.76,,2.39,1529554592,55.89
cherdyn,ru,92,95,60.4,56.48,,9.66,1529554592,51.39
yumen,cn,0,35,40.29,97.04,,1.16,1529554592,81.63
vyshneve,ua,0,77,50.39,30.37,,4.47,1529551800,64.4
creel,mx,76,37,27.75,-107.63,,3.06,1529554593,72.09
cururupu,br,48,100,-1.82,-44.87,,3.06,1529554593,71.46
asau,tv,,,,,,,,
raga,sd,,,,,,,,
kegayli,uz,,,,,,,,
pundaguitan,ph,0,100,6.37,126.17,,1.61,1529554593,83.16
sao geraldo do araguaia,br,12,96,-6.4,-48.55,,3.18,1529554594,69.66
sennoy,ru,0,43,52.16,46.96,,7.65,1529554594,63.81
zhenlai,cn,0,49,45.84,123.2,,7.76,1529554594,81.54
kouroussa,gn,56,95,10.65,-9.88,,10.45,1529554531,72.54
dunda,tz,32,83,-8.12,34.25,,7.87,1529554594,62.82
santa maria,cv,75,83,16.6,-22.9,,12.75,1529550000,71.6
mrirt,ma,,,,,,,,
ruatoria,nz,,,,,,,,
padang,id,20,100,-0.92,100.36,,3.62,1529554828,85.14
katha,mm,,,,,,,,
kamenka,ru,0,50,53.19,44.05,,9.55,1529554828,63.0
zaysan,kz,8,48,47.47,84.87,,4.97,1529554595,69.3
ouesso,cg,64,95,1.61,16.05,,2.28,1529554595,71.19
cidreira,br,0,87,-30.17,-50.22,,2.39,1529554595,50.22
sibolga,id,80,95,1.74,98.78,,2.62,1529554829,75.33
tapaua,br,,,,,,,,
tallahassee,us,20,74,30.44,-84.28,,6.93,1529554500,82.4
nuevo progreso,mx,44,60,17.14,-95.05,,19.28,1529554595,84.33
palabuhanratu,id,,,,,,,,
tessalit,ml,0,17,20.2,1.01,,11.45,1529554829,82.44
gizo,sb,80,100,-8.1,156.84,,14.58,1529554596,82.17
puerto del rosario,es,40,73,28.5,-13.86,,14.99,1529553600,69.8
mergui,mm,,,,,,,,
panzhihua,cn,88,95,26.59,101.72,,3.06,1529554596,67.86
hamilton,bm,20,83,32.3,-64.78,,13.87,1529553300,77.0
burnie,au,0,100,-41.05,145.91,,10.22,1529554597,52.92
kawana waters,au,,,,,,,,
babanusah,sd,,,,,,,,
ishigaki,jp,75,84,24.34,124.16,,18.34,1529550000,86.0
price,us,1,22,39.6,-110.81,,9.17,1529549580,78.8
doctor pedro p. pena,py,,,,,,,,
ust-kuyga,ru,0,49,70,135.55,,6.98,1529554597,71.46
bur gabo,so,,,,,,,,
moindou,nc,75,53,-21.69,165.68,,9.17,1529553600,73.4
chicama,pe,90,88,-7.84,-79.15,,8.05,1529553600,64.4
smithers,ca,75,88,54.78,-127.17,,1.72,1529550000,64.4
alice town,bs,8,100,25.72,-79.3,,7.76,1529554598,83.7
varska,ee,,,,,,,,
zhezkazgan,kz,0,21,47.8,67.71,,8.95,1529551800,82.4
manado,id,40,66,1.49,124.85,,5.82,1529553600,86.0
santa rosa,ar,0,53,-36.62,-64.29,,13.47,1529554599,48.24
grenada,us,90,88,33.77,-89.81,,4.07,1529549580,78.8
leshukonskoye,ru,100,100,64.9,45.76,,5.97,1529554745,56.16
khandyga,ru,88,39,62.65,135.58,,6.87,1529554478,67.41
matay,eg,0,49,28.42,30.79,,8.32,1529554599,75.6
dalvik,is,0,92,65.97,-18.53,,2.24,1529553600,35.6
leh,in,76,100,34.16,77.58,,0.72,1529554599,31.77
belyy yar,ru,0,56,53.6,91.39,,4.47,1529551800,73.4
san jose,bo,0,93,-17.94,-63.35,,5.82,1529553600,62.6
skala,gr,20,82,36.85,22.66,,5.19,1529553000,60.8
isangel,vu,0,100,-19.55,169.27,,11.68,1529554831,74.25
pimampiro,ec,32,100,0.39,-77.94,,1.95,1529554600,42.66
bushehr,ir,0,48,28.97,50.84,,11.41,1529551800,87.8
kiama,au,0,55,-34.67,150.86,,5.82,1529550000,60.8
kaeo,nz,92,99,-35.1,173.78,,17.27,1529554510,54.0
sepuka,tz,0,90,-4.75,34.53,,10.67,1529554601,56.79
linhai,cn,88,93,28.86,121.14,,4.63,1529554601,73.98
taytay,ph,48,93,10.83,119.52,,8.43,1529554601,84.87
santa isabel do rio negro,br,36,100,-0.41,-65.02,,3.18,1529554832,71.73
bichura,ru,92,65,50.59,107.6,,2.17,1529554601,71.37
warangal,in,0,70,17.99,79.6,,4.18,1529554601,84.69
vestmannaeyjar,is,0,97,63.44,-20.27,,11.68,1529554602,45.27
sentyabrskiy,ru,,,,,,,,
lolua,tv,,,,,,,,
aksu,cn,12,50,41.12,80.26,,4.74,1529554602,69.66
yarada,in,36,99,17.65,83.27,,14.92,1529554529,83.97
kampong thum,kh,44,82,12.71,104.89,,5.75,1529554602,86.76
satana,in,8,86,20.6,74.2,,9.78,1529554602,80.1
longyearbyen,sj,75,81,78.22,15.64,,5.82,1529553000,42.8
avera,pf,,,,,,,,
la libertad,sv,20,88,13.49,-89.32,,3.36,1529553000,80.6
vila velha,br,40,78,-3.71,-38.6,,9.17,1529553600,80.6
formoso do araguaia,br,,,,,,,,
bellmead,us,40,83,31.59,-97.11,,8.05,1529553300,78.8
cranbrook,ca,40,33,49.51,-115.76,,11.41,1529550000,77.0
bubaque,gw,64,100,11.28,-15.83,,10.45,1529554604,79.56
alice springs,au,0,36,-23.7,133.88,,13.87,1529551800,60.8
mwinilunga,zm,0,76,-11.73,24.43,,2.62,1529554604,49.95
griffith,au,0,100,-34.29,146.06,,4.63,1529554833,58.32
bajil,ye,0,75,15.06,43.29,,2.62,1529554604,72.18
comodoro rivadavia,ar,0,45,-45.87,-67.48,,16.11,1529553600,44.6
kruisfontein,za,0,94,-34,24.73,,10.89,1529554605,52.47
tshane,bw,0,41,-24.02,21.87,,6.98,1529554605,43.11
montepuez,mz,0,92,-13.13,39,,7.43,1529554605,61.65
ikorodu,ng,20,100,6.62,3.5,,3.36,1529550000,73.4
nhulunbuy,au,40,58,-12.18,136.78,,14.99,1529551800,84.2
hobyo,so,0,85,5.35,48.53,,20.18,1529554605,74.97
sangar,ru,12,51,63.92,127.47,,9.22,1529554606,65.16
eureka,us,90,87,40.8,-124.16,,6.93,1529552400,55.4
itarema,br,0,87,-2.92,-39.92,,10,1529554606,75.6
nelson bay,au,75,82,-32.72,152.14,,5.82,1529553600,59.0
coruripe,br,92,95,-10.12,-36.18,,14.81,1529554606,78.21
viedma,ar,0,44,-40.81,-62.99,,21.97,1529554606,48.24
carballo,es,0,100,43.21,-8.69,,3.36,1529553600,62.6
kongolo,cd,76,50,-5.39,27,,2.39,1529554607,74.7
port hardy,ca,75,68,50.7,-127.42,,8.05,1529550000,66.2
kisangani,cd,88,100,0.52,25.21,,2.62,1529554834,71.91
kyaikkami,mm,92,100,16.08,97.57,,5.64,1529554607,75.96
mogwase,za,0,89,-25.28,27.22,,3.96,1529554607,38.88
moissac,fr,90,94,44.11,1.08,,8.05,1529553600,68.0
oranjemund,na,0,100,-28.55,16.43,,3.06,1529554835,57.42
tabialan,ph,,,,,,,,
bridlington,gb,12,76,54.08,-0.19,,10.29,1529553000,50.0
ozgon,kg,,,,,,,,
kapit,my,0,77,2.02,112.94,,2.95,1529554608,84.51
rungata,ki,,,,,,,,
presidente epitacio,br,0,85,-21.76,-52.12,,2.39,1529554476,61.47
upernavik,gl,88,95,72.79,-56.15,,10.89,1529554486,32.58
preobrazheniye,ru,68,88,42.9,133.91,,2.62,1529554608,61.83
smolenka,ru,0,72,54.28,56.05,,13.42,1529551800,60.8
jalingo,ng,92,98,10.3,10.93,,9.66,1529554609,68.76
ferkessedougou,ci,76,87,9.6,-5.2,,6.98,1529554609,73.53
jiangyou,cn,100,97,31.78,104.73,,4.97,1529554609,72.09
havoysund,no,90,100,71,24.66,,8.05,1529553000,44.6
san carlos,co,75,93,6.19,-74.99,,1.61,1529553600,59.0
dinar,tr,20,93,38.07,30.16,,2.24,1529551200,57.2
houma,cn,20,52,35.63,111.36,,7.76,1529554610,81.09
shahr-e babak,ir,0,20,30.12,55.12,,5.19,1529554610,72.72
kisujszallas,hu,0,94,47.22,20.77,,2.24,1529552700,68.0
yerbogachen,ru,56,55,61.28,108.01,,2.06,1529554611,78.3
qasigiannguit,gl,0,43,68.82,-51.19,,16.11,1529553000,51.8
belaya kholunitsa,ru,68,84,58.84,50.85,,16.71,1529554611,52.92
camacha,pt,75,88,33.08,-16.33,,12.75,1529551800,66.2
urumqi,cn,,,,,,,,
alotau,pg,,,,,,,,
chama,zm,0,91,-11.22,33.16,,4.85,1529554611,53.91
mayo,ca,90,26,63.59,-135.9,,3.36,1529550000,80.6
dongsheng,cn,68,77,29.72,112.52,,10.89,1529554612,83.43
naze,jp,75,83,28.37,129.48,,18.34,1529550000,84.2
constitucion,mx,5,33,23.99,-104.67,,5.82,1529549160,77.0
zhanatas,kz,,,,,,,,
geraldton,au,0,52,-28.77,114.6,,9.17,1529551800,68.0
guerrero negro,mx,0,86,27.97,-114.04,,8.99,1529554521,63.27
weiser,us,20,38,44.25,-116.97,,9.17,1529551440,75.2
jyvaskyla,fi,,,,,,,,
tazovskiy,ru,12,72,67.47,78.7,,15.7,1529554837,65.97
deputatskiy,ru,0,23,69.3,139.9,,8.66,1529554613,70.56
